Ward,State,District,Subdistt,Town/Village,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
0,27,531,4302,802895,0,TOWN,Sangli Miraj Kupwad (M Corp.),Urban,110062,502793,253640,249153,53798,28304,25494,73032,36140,36892,3496,1788,1708,385728,202852,182876,117065,50788,66277,173225,132574,40651,158958,124356,34602,5241,4446,795,8063,4887,3176,7141,4557,2584,138513,110466,28047,14267,8218,6049,421,219,202,1018,541,477,1251,466,785,11577,6992,4585,11224,6368,4856,378,195,183,816,442,374,871,305,566,9159,5426,3733,3043,1850,1193,43,24,19,202,99,103,380,161,219,2418,1566,852,329568,121066,208502
1,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0001,Urban,2050,9237,4647,4590,1224,657,567,1983,994,989,32,19,13,5858,3191,2667,3379,1456,1923,3563,2532,1031,3204,2323,881,18,13,5,315,162,153,166,94,72,2705,2054,651,359,209,150,6,2,4,36,18,18,14,4,10,303,185,118,211,121,90,6,2,4,23,11,12,8,3,5,174,105,69,148,88,60,0,0,0,13,7,6,6,1,5,129,80,49,5674,2115,3559
2,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0002,Urban,1818,8154,4195,3959,893,446,447,906,470,436,36,21,15,6208,3358,2850,1946,837,1109,2689,2072,617,2534,1989,545,54,50,4,106,60,46,116,74,42,2258,1805,453,155,83,72,5,3,2,24,10,14,16,6,10,110,64,46,120,67,53,5,3,2,18,9,9,11,6,5,86,49,37,35,16,19,0,0,0,6,1,5,5,0,5,24,15,9,5465,2123,3342
3,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0003,Urban,1372,5786,3023,2763,693,362,331,1458,705,753,28,13,15,3809,2126,1683,1977,897,1080,2470,1729,741,2384,1681,703,19,16,3,943,498,445,23,15,8,1399,1152,247,86,48,38,7,5,2,29,15,14,4,0,4,46,28,18,77,42,35,5,3,2,28,15,13,4,0,4,40,24,16,9,6,3,2,2,0,1,0,1,0,0,0,6,4,2,3316,1294,2022
4,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0004,Urban,2182,10207,5239,4968,1309,692,617,1656,861,795,45,22,23,7400,3983,3417,2807,1256,1551,3443,2732,711,3281,2647,634,111,100,11,385,230,155,149,98,51,2636,2219,417,162,85,77,9,1,8,28,17,11,16,5,11,109,62,47,133,72,61,9,1,8,25,16,9,12,4,8,87,51,36,29,13,16,0,0,0,3,1,2,4,1,3,22,11,11,6764,2507,4257
5,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0005,Urban,1451,6538,3322,3216,779,405,374,607,290,317,26,16,10,5114,2701,2413,1424,621,803,2294,1788,506,2069,1682,387,116,101,15,125,94,31,82,61,21,1746,1426,320,225,106,119,16,7,9,17,12,5,23,3,20,169,84,85,205,97,108,15,6,9,14,10,4,17,2,15,159,79,80,20,9,11,1,1,0,3,2,1,6,1,5,10,5,5,4244,1534,2710
6,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0006,Urban,1511,6571,3348,3223,880,430,450,1720,882,838,18,11,7,4609,2533,2076,1962,815,1147,2332,1814,518,2190,1752,438,47,45,2,107,76,31,128,93,35,1908,1538,370,142,62,80,2,0,2,15,8,7,30,6,24,95,48,47,102,48,54,1,0,1,13,7,6,11,1,10,77,40,37,40,14,26,1,0,1,2,1,1,19,5,14,18,8,10,4239,1534,2705
7,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0007,Urban,2055,9373,4752,4621,1158,611,547,1887,926,961,26,8,18,6732,3610,3122,2641,1142,1499,3521,2612,909,3337,2519,818,182,144,38,191,107,84,89,64,25,2875,2204,671,184,93,91,6,3,3,17,9,8,8,1,7,153,80,73,155,73,82,6,3,3,16,8,8,6,1,5,127,61,66,29,20,9,0,0,0,1,1,0,2,0,2,26,19,7,5852,2140,3712
8,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0008,Urban,1323,6042,3068,2974,748,398,350,1559,788,771,15,4,11,4481,2398,2083,1561,670,891,2071,1547,524,1864,1423,441,73,69,4,184,137,47,96,67,29,1511,1150,361,207,124,83,2,0,2,47,29,18,11,4,7,147,91,56,187,109,78,2,0,2,45,29,16,10,3,7,130,77,53,20,15,5,0,0,0,2,0,2,1,1,0,17,14,3,3971,1521,2450
9,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0009,Urban,1969,8906,4543,4363,1102,592,510,1203,626,577,85,52,33,6759,3597,3162,2147,946,1201,3108,2348,760,2916,2233,683,37,33,4,42,35,7,105,66,39,2732,2099,633,192,115,77,2,1,1,11,4,7,14,6,8,165,104,61,171,102,69,2,1,1,10,4,6,11,6,5,148,91,57,21,13,8,0,0,0,1,0,1,3,0,3,17,13,4,5798,2195,3603
10,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0010,Urban,1926,8357,4245,4112,968,522,446,1353,686,667,100,49,51,6399,3358,3041,1958,887,1071,2983,2130,853,2795,2009,786,28,26,2,102,63,39,95,44,51,2570,1876,694,188,121,67,5,3,2,21,15,6,6,2,4,156,101,55,159,102,57,4,2,2,19,13,6,2,2,0,134,85,49,29,19,10,1,1,0,2,2,0,4,0,4,22,16,6,5374,2115,3259
11,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0011,Urban,1629,7492,3849,3643,826,442,384,1375,706,669,58,28,30,5892,3137,2755,1600,712,888,2441,1943,498,2313,1873,440,51,44,7,186,128,58,121,92,29,1955,1609,346,128,70,58,4,3,1,12,8,4,14,7,7,98,52,46,67,38,29,1,1,0,5,3,2,7,3,4,54,31,23,61,32,29,3,2,1,7,5,2,7,4,3,44,21,23,5051,1906,3145
12,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0012,Urban,1610,7112,3630,3482,662,363,299,688,359,329,56,24,32,5888,3032,2856,1224,598,626,2483,1848,635,2332,1786,546,37,32,5,29,24,5,196,115,81,2070,1615,455,151,62,89,13,6,7,10,10,0,34,4,30,94,42,52,122,52,70,9,5,4,9,9,0,25,2,23,79,36,43,29,10,19,4,1,3,1,1,0,9,2,7,15,6,9,4629,1782,2847
13,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0013,Urban,2387,10904,5619,5285,1468,782,686,2144,1112,1032,40,21,19,7699,4214,3485,3205,1405,1800,3679,2892,787,3333,2712,621,30,21,9,46,36,10,119,69,50,3138,2586,552,346,180,166,10,5,5,27,11,16,34,7,27,275,157,118,294,146,148,10,5,5,22,8,14,30,6,24,232,127,105,52,34,18,0,0,0,5,3,2,4,1,3,43,30,13,7225,2727,4498
14,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0014,Urban,1253,5649,2871,2778,655,346,309,518,251,267,31,16,15,4376,2312,2064,1273,559,714,1851,1444,407,1683,1355,328,21,17,4,26,18,8,61,42,19,1575,1278,297,168,89,79,8,5,3,14,5,9,23,6,17,123,73,50,128,66,62,8,5,3,10,4,6,19,5,14,91,52,39,40,23,17,0,0,0,4,1,3,4,1,3,32,21,11,3798,1427,2371
15,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0015,Urban,1408,6796,3436,3360,793,389,404,346,162,184,20,9,11,5145,2744,2401,1651,692,959,2709,1964,745,2483,1870,613,37,28,9,102,40,62,218,128,90,2126,1674,452,226,94,132,6,2,4,44,10,34,31,0,31,145,82,63,184,73,111,6,2,4,28,6,22,28,0,28,122,65,57,42,21,21,0,0,0,16,4,12,3,0,3,23,17,6,4087,1472,2615
16,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0016,Urban,1618,7468,3831,3637,778,402,376,267,135,132,59,24,35,5400,2931,2469,2068,900,1168,2915,2142,773,2755,2074,681,371,332,39,615,300,315,77,47,30,1692,1395,297,160,68,92,10,6,4,51,9,42,10,4,6,89,49,40,121,50,71,7,3,4,29,4,25,7,3,4,78,40,38,39,18,21,3,3,0,22,5,17,3,1,2,11,9,2,4553,1689,2864
17,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0017,Urban,1214,5581,2847,2734,525,265,260,145,70,75,47,23,24,4364,2359,2005,1217,488,729,1975,1586,389,1878,1524,354,425,387,38,227,106,121,61,35,26,1165,996,169,97,62,35,14,7,7,19,10,9,5,2,3,59,43,16,86,58,28,8,5,3,16,9,7,5,2,3,57,42,15,11,4,7,6,2,4,3,1,2,0,0,0,2,1,1,3606,1261,2345
18,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0018,Urban,791,3904,1968,1936,450,226,224,1575,777,798,37,20,17,2729,1500,1229,1175,468,707,1431,1069,362,1268,966,302,73,55,18,352,197,155,48,29,19,795,685,110,163,103,60,16,16,0,54,33,21,9,2,7,84,52,32,138,90,48,16,16,0,47,28,19,7,2,5,68,44,24,25,13,12,0,0,0,7,5,2,2,0,2,16,8,8,2473,899,1574
19,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0019,Urban,1206,5591,2805,2786,455,227,228,331,154,177,10,4,6,4704,2403,2301,887,402,485,2021,1631,390,1900,1550,350,39,38,1,14,10,4,182,126,56,1665,1376,289,121,81,40,4,2,2,3,2,1,16,7,9,98,70,28,107,73,34,4,2,2,3,2,1,11,7,4,89,62,27,14,8,6,0,0,0,0,0,0,5,0,5,9,8,1,3570,1174,2396
20,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0020,Urban,1480,6892,3434,3458,556,303,253,385,185,200,15,5,10,5824,2934,2890,1068,500,568,2444,1925,519,2312,1830,482,36,32,4,26,17,9,150,86,64,2100,1695,405,132,95,37,2,2,0,3,2,1,6,3,3,121,88,33,104,73,31,2,2,0,1,1,0,6,3,3,95,67,28,28,22,6,0,0,0,2,1,1,0,0,0,26,21,5,4448,1509,2939
21,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0021,Urban,1737,7349,3569,3780,827,444,383,4024,1916,2108,61,30,31,4770,2569,2201,2579,1000,1579,2592,1878,714,1992,1463,529,18,14,4,12,10,2,71,51,20,1891,1388,503,600,415,185,2,2,0,9,8,1,24,9,15,565,396,169,210,124,86,2,2,0,5,5,0,10,1,9,193,116,77,390,291,99,0,0,0,4,3,1,14,8,6,372,280,92,4757,1691,3066
22,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0022,Urban,1088,5220,2678,2542,656,334,322,372,188,184,14,8,6,3796,2036,1760,1424,642,782,1889,1440,449,1616,1341,275,14,12,2,10,9,1,36,22,14,1556,1298,258,273,99,174,5,5,0,0,0,0,7,1,6,261,93,168,224,65,159,4,4,0,0,0,0,6,1,5,214,60,154,49,34,15,1,1,0,0,0,0,1,0,1,47,33,14,3331,1238,2093
23,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0023,Urban,1729,8116,4131,3985,946,495,451,707,359,348,25,11,14,6155,3300,2855,1961,831,1130,2621,2122,499,2306,1872,434,37,34,3,30,26,4,64,43,21,2175,1769,406,315,250,65,1,0,1,5,2,3,31,21,10,278,227,51,281,225,56,1,0,1,4,2,2,27,19,8,249,204,45,34,25,9,0,0,0,1,0,1,4,2,2,29,23,6,5495,2009,3486
24,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0024,Urban,2180,9767,4992,4775,1080,579,501,1717,871,846,109,51,58,7419,3950,3469,2348,1042,1306,3365,2540,825,2966,2299,667,67,52,15,77,46,31,142,84,58,2680,2117,563,399,241,158,4,2,2,12,9,3,39,18,21,344,212,132,239,128,111,2,0,2,7,5,2,22,11,11,208,112,96,160,113,47,2,2,0,5,4,1,17,7,10,136,100,36,6402,2452,3950
25,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0025,Urban,2471,11221,5649,5572,1236,654,582,2061,1017,1044,34,18,16,8674,4538,4136,2547,1111,1436,3957,2951,1006,3721,2825,896,55,48,7,141,84,57,56,34,22,3469,2659,810,236,126,110,7,2,5,21,12,9,11,6,5,197,106,91,179,98,81,6,1,5,17,9,8,8,3,5,148,85,63,57,28,29,1,1,0,4,3,1,3,3,0,49,21,28,7264,2698,4566
26,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0026,Urban,1218,5217,2556,2661,517,285,232,921,444,477,20,8,12,4236,2127,2109,981,429,552,1839,1296,543,1743,1249,494,16,14,2,14,12,2,95,63,32,1618,1160,458,96,47,49,1,1,0,2,1,1,10,0,10,83,45,38,77,38,39,1,1,0,2,1,1,8,0,8,66,36,30,19,9,10,0,0,0,0,0,0,2,0,2,17,9,8,3378,1260,2118
27,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0027,Urban,1669,7601,3841,3760,841,454,387,2055,995,1060,77,43,34,5850,3059,2791,1751,782,969,2435,1857,578,2350,1802,548,49,39,10,66,30,36,22,14,8,2213,1719,494,85,55,30,5,3,2,13,9,4,9,5,4,58,38,20,70,47,23,4,3,1,11,8,3,3,2,1,52,34,18,15,8,7,1,0,1,2,1,1,6,3,3,6,4,2,5166,1984,3182
28,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0028,Urban,1646,6992,3565,3427,595,328,267,1001,504,497,118,65,53,5904,3075,2829,1088,490,598,2177,1691,486,2073,1629,444,27,25,2,34,26,8,41,24,17,1971,1554,417,104,62,42,2,1,1,7,6,1,14,5,9,81,50,31,71,41,30,2,1,1,5,4,1,11,4,7,53,32,21,33,21,12,0,0,0,2,2,0,3,1,2,28,18,10,4815,1874,2941
29,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0029,Urban,1660,7139,3664,3475,742,384,358,761,389,372,113,54,59,5725,3017,2708,1414,647,767,2435,1897,538,2284,1842,442,13,11,2,106,99,7,68,55,13,2097,1677,420,151,55,96,4,1,3,4,2,2,11,6,5,132,46,86,144,51,93,4,1,3,4,2,2,10,6,4,126,42,84,7,4,3,0,0,0,0,0,0,1,0,1,6,4,2,4704,1767,2937
30,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0030,Urban,1169,5396,2753,2643,455,246,209,1110,553,557,2,2,0,4498,2349,2149,898,404,494,1999,1560,439,1937,1531,406,9,6,3,3,2,1,95,45,50,1830,1478,352,62,29,33,0,0,0,3,0,3,11,2,9,48,27,21,54,25,29,0,0,0,3,0,3,9,2,7,42,23,19,8,4,4,0,0,0,0,0,0,2,0,2,6,4,2,3397,1193,2204
31,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0031,Urban,1673,6682,3358,3324,498,266,232,157,75,82,4,1,3,5819,2948,2871,863,410,453,2300,1764,536,2159,1694,465,62,62,0,37,35,2,280,225,55,1780,1372,408,141,70,71,9,3,6,2,2,0,37,14,23,93,51,42,137,68,69,9,3,6,2,2,0,36,14,22,90,49,41,4,2,2,0,0,0,0,0,0,1,0,1,3,2,1,4382,1594,2788
32,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0032,Urban,1069,5161,2614,2547,431,224,207,493,267,226,26,19,7,4365,2242,2123,796,372,424,1710,1352,358,1651,1318,333,37,35,2,18,18,0,77,51,26,1519,1214,305,59,34,25,2,2,0,1,0,1,2,1,1,54,31,23,46,30,16,2,2,0,1,0,1,0,0,0,43,28,15,13,4,9,0,0,0,0,0,0,2,1,1,11,3,8,3451,1262,2189
33,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0033,Urban,1203,6136,3053,3083,621,315,306,77,37,40,11,7,4,4994,2593,2401,1142,460,682,1949,1607,342,1866,1566,300,17,17,0,9,7,2,184,118,66,1656,1424,232,83,41,42,4,2,2,2,0,2,8,1,7,69,38,31,78,37,41,4,2,2,2,0,2,8,1,7,64,34,30,5,4,1,0,0,0,0,0,0,0,0,0,5,4,1,4187,1446,2741
34,27,531,4302,802895,0,WARD,Sangli Miraj Kupwad (M Corp.) WARD NO.-0034,Urban,1116,4981,2364,2617,491,256,235,449,165,284,25,13,12,3389,1811,1578,1592,553,1039,1593,1194,399,1474,1130,344,15,14,1,16,11,5,249,186,63,1194,919,275,119,64,55,1,0,1,8,5,3,31,19,12,79,40,39,76,37,39,1,0,1,0,0,0,18,9,9,57,28,29,43,27,16,0,0,0,8,5,3,13,10,3,22,12,10,3388,1170,2218
